source,target
Jack Palance,Jake Gyllenhaal
David Paymer,Jake Gyllenhaal
Mel Gibson,Peter Weir
Jeremy Irons,Liam Neeson
Jeremy Irons,Edward Norton
Jeremy Irons,Ridley Scott
Liam Neeson,Edward Norton
Liam Neeson,Ridley Scott
Edward Norton,Ridley Scott
Jeremy Irons,Samuel L. Jackson
Angela Lansbury,Sam Jaffe
Cliff Robertson,Virginia Madsen
Tim Robbins,Whoopi Goldberg
Tim Robbins,Dean Stockwell
Tim Robbins,Richard E. Grant
Tim Robbins,Sydney Pollack
Tim Robbins,Robert Altman
Whoopi Goldberg,Dean Stockwell
Whoopi Goldberg,Richard E. Grant
Whoopi Goldberg,Sydney Pollack
Whoopi Goldberg,Robert Altman
Dean Stockwell,Richard E. Grant
Dean Stockwell,Sydney Pollack
Dean Stockwell,Robert Altman
Richard E. Grant,Sydney Pollack
Richard E. Grant,Robert Altman
Sydney Pollack,Robert Altman
Greer Garson,Gladys Cooper
Greer Garson,Geraldine Page
Greer Garson,Hermione Baddeley
Greer Garson,Lesley Ann Warren
Gladys Cooper,Geraldine Page
Gladys Cooper,Hermione Baddeley
Gladys Cooper,Lesley Ann Warren
Geraldine Page,Hermione Baddeley
Geraldine Page,Lesley Ann Warren
Hermione Baddeley,Lesley Ann Warren
Mickey Rooney,Red Buttons
Mickey Rooney,Shelley Winters
Red Buttons,Shelley Winters
Kevin Spacey,Kate Winslet
Kevin Spacey,Laura Linney
Kevin Spacey,Melissa McCarthy
Kevin Spacey,Alan Parker
Kate Winslet,Laura Linney
Kate Winslet,Melissa McCarthy
Kate Winslet,Alan Parker
Laura Linney,Melissa McCarthy
Laura Linney,Alan Parker
Melissa McCarthy,Alan Parker
Diane Lane,Laura Dern
Diane Lane,Christine Lahti
Laura Dern,Christine Lahti
Marlon Brando,Gene Hackman
Marlon Brando,Ned Beatty
Marlon Brando,Jackie Cooper
Marlon Brando,Trevor Howard
Marlon Brando,Valerie Perrine
Marlon Brando,Terence Stamp
Marlon Brando,Susannah York
Gene Hackman,Ned Beatty
Gene Hackman,Jackie Cooper
Gene Hackman,Trevor Howard
Gene Hackman,Valerie Perrine
Gene Hackman,Terence Stamp
Gene Hackman,Susannah York
Ned Beatty,Jackie Cooper
Ned Beatty,Trevor Howard
Ned Beatty,Valerie Perrine
Ned Beatty,Terence Stamp
Ned Beatty,Susannah York
Jackie Cooper,Trevor Howard
Jackie Cooper,Valerie Perrine
Jackie Cooper,Terence Stamp
Jackie Cooper,Susannah York
Trevor Howard,Valerie Perrine
Trevor Howard,Terence Stamp
Trevor Howard,Susannah York
Valerie Perrine,Terence Stamp
Valerie Perrine,Susannah York
Terence Stamp,Susannah York
Toni Collette,Rachel Griffiths
Mariel Hemingway,Eric Roberts
Mariel Hemingway,Cliff Robertson
Mariel Hemingway,Carroll Baker
Mariel Hemingway,Bob Fosse
Eric Roberts,Cliff Robertson
Eric Roberts,Carroll Baker
Eric Roberts,Bob Fosse
Cliff Robertson,Carroll Baker
Cliff Robertson,Bob Fosse
Carroll Baker,Bob Fosse
Denholm Elliott,Joan Plowright
Burt Reynolds,James Caan
Burt Reynolds,Liza Minnelli
Burt Reynolds,Anne Bancroft
Burt Reynolds,Paul Newman
James Caan,Liza Minnelli
James Caan,Anne Bancroft
James Caan,Paul Newman
Liza Minnelli,Anne Bancroft
Liza Minnelli,Paul Newman
Anne Bancroft,Paul Newman
Harrison Ford,Allison Janney
Candice Bergen,John Gielgud
Candice Bergen,Trevor Howard
Candice Bergen,John Mills
Candice Bergen,Ben Kingsley
Candice Bergen,Ian Bannen
Candice Bergen,Nigel Hawthorne
Candice Bergen,Daniel Day-Lewis
Candice Bergen,Richard Attenborough
John Gielgud,Trevor Howard
John Gielgud,John Mills
John Gielgud,Ben Kingsley
John Gielgud,Ian Bannen
John Gielgud,Nigel Hawthorne
John Gielgud,Daniel Day-Lewis
John Gielgud,Richard Attenborough
Trevor Howard,John Mills
Trevor Howard,Ben Kingsley
Trevor Howard,Ian Bannen
Trevor Howard,Nigel Hawthorne
Trevor Howard,Daniel Day-Lewis
Trevor Howard,Richard Attenborough
John Mills,Ben Kingsley
John Mills,Ian Bannen
John Mills,Nigel Hawthorne
John Mills,Daniel Day-Lewis
John Mills,Richard Attenborough
Ben Kingsley,Ian Bannen
Ben Kingsley,Nigel Hawthorne
Ben Kingsley,Daniel Day-Lewis
Ben Kingsley,Richard Attenborough
Ian Bannen,Nigel Hawthorne
Ian Bannen,Daniel Day-Lewis
Ian Bannen,Richard Attenborough
Nigel Hawthorne,Daniel Day-Lewis
Nigel Hawthorne,Richard Attenborough
Daniel Day-Lewis,Richard Attenborough
Bill Murray,Scarlett Johansson
Bill Murray,Sofia Coppola
Scarlett Johansson,Sofia Coppola
Colin Firth,Emma Thompson
Colin Firth,Laura Linney
Colin Firth,Liam Neeson
Colin Firth,Keira Knightley
Colin Firth,Chiwetel Ejiofor
Colin Firth,Billy Bob Thornton
Emma Thompson,Laura Linney
Emma Thompson,Liam Neeson
Emma Thompson,Keira Knightley
Emma Thompson,Chiwetel Ejiofor
Emma Thompson,Billy Bob Thornton
Laura Linney,Liam Neeson
Laura Linney,Keira Knightley
Laura Linney,Chiwetel Ejiofor
Laura Linney,Billy Bob Thornton
Liam Neeson,Keira Knightley
Liam Neeson,Chiwetel Ejiofor
Liam Neeson,Billy Bob Thornton
Keira Knightley,Chiwetel Ejiofor
Keira Knightley,Billy Bob Thornton
Chiwetel Ejiofor,Billy Bob Thornton
Russell Crowe,Peter Weir
Michael Shannon,Robert Forster
Jude Law,Rachel Weisz
Jude Law,Bob Hoskins
Jude Law,Ed Harris
Rachel Weisz,Bob Hoskins
Rachel Weisz,Ed Harris
Bob Hoskins,Ed Harris
Ronald Colman,Helen Hayes
Ronald Colman,John Ford
Helen Hayes,John Ford
Mel Gibson,Jodie Foster
Mel Gibson,James Garner
Mel Gibson,James Coburn
Jodie Foster,James Garner
Jodie Foster,James Coburn
James Garner,James Coburn
Burt Reynolds,Jill Clayburgh
Burt Reynolds,Lotte Lenya
Jill Clayburgh,Lotte Lenya
Tom Berenger,Barbara Hershey
Clint Eastwood,Clint Eastwood
Sophia Loren,Alec Guinness
Sophia Loren,James Mason
Sophia Loren,Christopher Plummer
Sophia Loren,Omar Sharif
Sophia Loren,Anthony Quayle
Alec Guinness,James Mason
Alec Guinness,Christopher Plummer
Alec Guinness,Omar Sharif
Alec Guinness,Anthony Quayle
James Mason,Christopher Plummer
James Mason,Omar Sharif
James Mason,Anthony Quayle
Christopher Plummer,Omar Sharif
Christopher Plummer,Anthony Quayle
Omar Sharif,Anthony Quayle
Gene Wilder,Harrison Ford
Eddie Murphy,Terence Stamp
Eddie Murphy,Jennifer Tilly
Terence Stamp,Jennifer Tilly
Samuel L. Jackson,Robert Forster
Samuel L. Jackson,Michael Keaton
Samuel L. Jackson,Robert De Niro
Samuel L. Jackson,Quentin Tarantino
Samuel L. Jackson,Quentin Tarantino
Robert Forster,Michael Keaton
Robert Forster,Robert De Niro
Robert Forster,Quentin Tarantino
Robert Forster,Quentin Tarantino
Michael Keaton,Robert De Niro
Michael Keaton,Quentin Tarantino
Michael Keaton,Quentin Tarantino
Robert De Niro,Quentin Tarantino
Robert De Niro,Quentin Tarantino
Quentin Tarantino,Quentin Tarantino
Goldie Hawn,Susan Sarandon
Goldie Hawn,Geoffrey Rush
Susan Sarandon,Geoffrey Rush
Nicole Kidman,Lauren Bacall
Nicole Kidman,Chloë Sevigny
Nicole Kidman,James Caan
Nicole Kidman,John Hurt
Nicole Kidman,Patricia Clarkson
Lauren Bacall,Chloë Sevigny
Lauren Bacall,James Caan
Lauren Bacall,John Hurt
Lauren Bacall,Patricia Clarkson
Chloë Sevigny,James Caan
Chloë Sevigny,John Hurt
Chloë Sevigny,Patricia Clarkson
James Caan,John Hurt
James Caan,Patricia Clarkson
John Hurt,Patricia Clarkson
Denzel Washington,Ryan Gosling
Heath Ledger,Allison Janney
Mel Gibson,Christian Bale
Mel Gibson,Linda Hunt
Christian Bale,Linda Hunt
Brian Donlevy,Akim Tamiroff
Brian Donlevy,William Demarest
Akim Tamiroff,William Demarest
Joaquin Phoenix,Sean Penn
Tom Hulce,Kevin Kline
Jeanne Crain,Ethel Barrymore
Jeanne Crain,Ethel Waters
Jeanne Crain,Juanita Moore
Jeanne Crain,Arthur Hunnicutt
Jeanne Crain,Elia Kazan
Ethel Barrymore,Ethel Waters
Ethel Barrymore,Juanita Moore
Ethel Barrymore,Arthur Hunnicutt
Ethel Barrymore,Elia Kazan
Ethel Waters,Juanita Moore
Ethel Waters,Arthur Hunnicutt
Ethel Waters,Elia Kazan
Juanita Moore,Arthur Hunnicutt
Juanita Moore,Elia Kazan
Arthur Hunnicutt,Elia Kazan
Jake Gyllenhaal,Ian Holm
Bill Murray,Seymour Cassel
Bill Murray,Wes Anderson
Seymour Cassel,Wes Anderson
Jennifer Connelly,Sam Elliott
Jennifer Connelly,Nick Nolte
Jennifer Connelly,Ang Lee
Sam Elliott,Nick Nolte
Sam Elliott,Ang Lee
Nick Nolte,Ang Lee
Gene Hackman,Jackie Cooper
Gene Hackman,Mariel Hemingway
Gene Hackman,Jim Broadbent
Gene Hackman,Susannah York
Jackie Cooper,Mariel Hemingway
Jackie Cooper,Jim Broadbent
Jackie Cooper,Susannah York
Mariel Hemingway,Jim Broadbent
Mariel Hemingway,Susannah York
Jim Broadbent,Susannah York
Fred Astaire,Ginger Rogers
Fred Astaire,Edna May Oliver
Fred Astaire,Walter Brennan
Ginger Rogers,Edna May Oliver
Ginger Rogers,Walter Brennan
Edna May Oliver,Walter Brennan
Burt Lancaster,Bruce Davison
Burt Lancaster,Richard Jaeckel
Bruce Davison,Richard Jaeckel
Clive Owen,Forest Whitaker
Clive Owen,Mickey Rourke
Clive Owen,Don Cheadle
Clive Owen,F. Murray Abraham
Clive Owen,Gary Oldman
Clive Owen,Vera Farmiga
Clive Owen,Ang Lee
Clive Owen,Alejandro González Iñárritu
Forest Whitaker,Mickey Rourke
Forest Whitaker,Don Cheadle
Forest Whitaker,F. Murray Abraham
Forest Whitaker,Gary Oldman
Forest Whitaker,Vera Farmiga
Forest Whitaker,Ang Lee
Forest Whitaker,Alejandro González Iñárritu
Mickey Rourke,Don Cheadle
Mickey Rourke,F. Murray Abraham
Mickey Rourke,Gary Oldman
Mickey Rourke,Vera Farmiga
Mickey Rourke,Ang Lee
Mickey Rourke,Alejandro González Iñárritu
Don Cheadle,F. Murray Abraham
Don Cheadle,Gary Oldman
Don Cheadle,Vera Farmiga
Don Cheadle,Ang Lee
Don Cheadle,Alejandro González Iñárritu
F. Murray Abraham,Gary Oldman
F. Murray Abraham,Vera Farmiga
F. Murray Abraham,Ang Lee
F. Murray Abraham,Alejandro González Iñárritu
Gary Oldman,Vera Farmiga
Gary Oldman,Ang Lee
Gary Oldman,Alejandro González Iñárritu
Vera Farmiga,Ang Lee
Vera Farmiga,Alejandro González Iñárritu
Ang Lee,Alejandro González Iñárritu
Gary Cooper,Arthur Hunnicutt
Ed Harris,Marlee Matlin
Jack Nicholson,Diane Keaton
Jack Nicholson,Frances McDormand
Diane Keaton,Frances McDormand
Peter Fonda,Alec Baldwin
Valentina Cortese,François Truffaut
Valentina Cortese,François Truffaut
François Truffaut,François Truffaut
Johnny Depp,Lena Olin
Johnny Depp,Frank Langella
Johnny Depp,Roman Polanski
Lena Olin,Frank Langella
Lena Olin,Roman Polanski
Frank Langella,Roman Polanski
Morgan Freeman,Anthony Hopkins
Morgan Freeman,Djimon Hounsou
Morgan Freeman,Matthew McConaughey
Morgan Freeman,Nigel Hawthorne
Morgan Freeman,David Paymer
Morgan Freeman,Pete Postlethwaite
Morgan Freeman,Anna Paquin
Morgan Freeman,Chiwetel Ejiofor
Morgan Freeman,Peter Firth
Morgan Freeman,Steven Spielberg
Anthony Hopkins,Djimon Hounsou
Anthony Hopkins,Matthew McConaughey
Anthony Hopkins,Nigel Hawthorne
Anthony Hopkins,David Paymer
Anthony Hopkins,Pete Postlethwaite
Anthony Hopkins,Anna Paquin
Anthony Hopkins,Chiwetel Ejiofor
Anthony Hopkins,Peter Firth
Anthony Hopkins,Steven Spielberg
Djimon Hounsou,Matthew McConaughey
Djimon Hounsou,Nigel Hawthorne
Djimon Hounsou,David Paymer
Djimon Hounsou,Pete Postlethwaite
Djimon Hounsou,Anna Paquin
Djimon Hounsou,Chiwetel Ejiofor
Djimon Hounsou,Peter Firth
Djimon Hounsou,Steven Spielberg
Matthew McConaughey,Nigel Hawthorne
Matthew McConaughey,David Paymer
Matthew McConaughey,Pete Postlethwaite
Matthew McConaughey,Anna Paquin
Matthew McConaughey,Chiwetel Ejiofor
Matthew McConaughey,Peter Firth
Matthew McConaughey,Steven Spielberg
Nigel Hawthorne,David Paymer
Nigel Hawthorne,Pete Postlethwaite
Nigel Hawthorne,Anna Paquin
Nigel Hawthorne,Chiwetel Ejiofor
Nigel Hawthorne,Peter Firth
Nigel Hawthorne,Steven Spielberg
David Paymer,Pete Postlethwaite
David Paymer,Anna Paquin
David Paymer,Chiwetel Ejiofor
David Paymer,Peter Firth
David Paymer,Steven Spielberg
Pete Postlethwaite,Anna Paquin
Pete Postlethwaite,Chiwetel Ejiofor
Pete Postlethwaite,Peter Firth
Pete Postlethwaite,Steven Spielberg
Anna Paquin,Chiwetel Ejiofor
Anna Paquin,Peter Firth
Anna Paquin,Steven Spielberg
Chiwetel Ejiofor,Peter Firth
Chiwetel Ejiofor,Steven Spielberg
Peter Firth,Steven Spielberg
Marlon Brando,Karl Malden
Marlon Brando,Katy Jurado
Marlon Brando,Marlon Brando
Karl Malden,Katy Jurado
Karl Malden,Marlon Brando
Katy Jurado,Marlon Brando
Charles Coburn,Howard Hawks
Sophia Loren,Susan Sarandon
Dean Jagger,Brian Donlevy
Dean Jagger,Jane Darwell
Dean Jagger,Mary Astor
Dean Jagger,Henry Hathaway
Brian Donlevy,Jane Darwell
Brian Donlevy,Mary Astor
Brian Donlevy,Henry Hathaway
Jane Darwell,Mary Astor
Jane Darwell,Henry Hathaway
Mary Astor,Henry Hathaway
Jodie Foster,Matthew McConaughey
Jodie Foster,James Woods
Jodie Foster,John Hurt
Jodie Foster,Angela Bassett
Jodie Foster,Robert Zemeckis
Matthew McConaughey,James Woods
Matthew McConaughey,John Hurt
Matthew McConaughey,Angela Bassett
Matthew McConaughey,Robert Zemeckis
James Woods,John Hurt
James Woods,Angela Bassett
James Woods,Robert Zemeckis
John Hurt,Angela Bassett
John Hurt,Robert Zemeckis
Angela Bassett,Robert Zemeckis
Matt Dillon,Bill Murray
Matt Dillon,Carrie Snodgress
Bill Murray,Carrie Snodgress
Matt Dillon,Mickey Rourke
Matt Dillon,Diane Lane
Matt Dillon,Diana Scarwid
Matt Dillon,Nicolas Cage
Matt Dillon,Dennis Hopper
Matt Dillon,Laurence Fishburne
Matt Dillon,Sofia Coppola
Matt Dillon,Francis Ford Coppola
Mickey Rourke,Diane Lane
Mickey Rourke,Diana Scarwid
Mickey Rourke,Nicolas Cage
Mickey Rourke,Dennis Hopper
Mickey Rourke,Laurence Fishburne
Mickey Rourke,Sofia Coppola
Mickey Rourke,Francis Ford Coppola
Diane Lane,Diana Scarwid
Diane Lane,Nicolas Cage
Diane Lane,Dennis Hopper
Diane Lane,Laurence Fishburne
Diane Lane,Sofia Coppola
Diane Lane,Francis Ford Coppola
Diana Scarwid,Nicolas Cage
Diana Scarwid,Dennis Hopper
Diana Scarwid,Laurence Fishburne
Diana Scarwid,Sofia Coppola
Diana Scarwid,Francis Ford Coppola
Nicolas Cage,Dennis Hopper
Nicolas Cage,Laurence Fishburne
Nicolas Cage,Sofia Coppola
Nicolas Cage,Francis Ford Coppola
Dennis Hopper,Laurence Fishburne
Dennis Hopper,Sofia Coppola
Dennis Hopper,Francis Ford Coppola
Laurence Fishburne,Sofia Coppola
Laurence Fishburne,Francis Ford Coppola
Sofia Coppola,Francis Ford Coppola
Woody Allen,Charlotte Rampling
Woody Allen,Marie-Christine Barrault
Woody Allen,Sharon Stone
Woody Allen,Woody Allen
Charlotte Rampling,Marie-Christine Barrault
Charlotte Rampling,Sharon Stone
Charlotte Rampling,Woody Allen
Marie-Christine Barrault,Sharon Stone
Marie-Christine Barrault,Woody Allen
Sharon Stone,Woody Allen
Peter Bogdanovich,Peter Bogdanovich
Harrison Ford,Helen Mirren
Harrison Ford,River Phoenix
Harrison Ford,Peter Weir
Helen Mirren,River Phoenix
Helen Mirren,Peter Weir
River Phoenix,Peter Weir
Kevin Kline,Jesse Eisenberg
Albert Finney,Jessica Lange
Albert Finney,Helena Bonham Carter
Albert Finney,Marion Cotillard
Jessica Lange,Helena Bonham Carter
Jessica Lange,Marion Cotillard
Helena Bonham Carter,Marion Cotillard
Christopher Plummer,James Mason
Christopher Plummer,Frank Finlay
Christopher Plummer,Anthony Quayle
Christopher Plummer,Geneviève Bujold
Christopher Plummer,John Gielgud
James Mason,Frank Finlay
James Mason,Anthony Quayle
James Mason,Geneviève Bujold
James Mason,John Gielgud
Frank Finlay,Anthony Quayle
Frank Finlay,Geneviève Bujold
Frank Finlay,John Gielgud
Anthony Quayle,Geneviève Bujold
Anthony Quayle,John Gielgud
Geneviève Bujold,John Gielgud
Frances McDormand,Kate Hudson
Frances McDormand,Anna Paquin
Frances McDormand,Philip Seymour Hoffman
Kate Hudson,Anna Paquin
Kate Hudson,Philip Seymour Hoffman
Anna Paquin,Philip Seymour Hoffman
Steve McQueen,Robert Vaughn
Steve McQueen,Robert Duvall
Steve McQueen,Peter Yates
Robert Vaughn,Robert Duvall
Robert Vaughn,Peter Yates
Robert Duvall,Peter Yates
James Stewart,John Wayne
James Stewart,Lee Marvin
James Stewart,Edmond O'Brien
James Stewart,John Ford
John Wayne,Lee Marvin
John Wayne,Edmond O'Brien
John Wayne,John Ford
Lee Marvin,Edmond O'Brien
Lee Marvin,John Ford
Edmond O'Brien,John Ford
Vivien Merchant,Alexander Knox
Alec Guinness,Diane Cilento
Johnny Depp,Julianne Moore
Johnny Depp,William H. Macy
Julianne Moore,William H. Macy
John Lithgow,Lily Tomlin
John Lithgow,Kevin Kline
Lily Tomlin,Kevin Kline
Miranda Richardson,Colin Firth
Charlton Heston,Joan Hackett
Charlton Heston,Bruce Dern
Joan Hackett,Bruce Dern
Patricia Arquette,Dennis Hopper
Patricia Arquette,Gary Oldman
Patricia Arquette,Brad Pitt
Patricia Arquette,Christopher Walken
Patricia Arquette,Samuel L. Jackson
Dennis Hopper,Gary Oldman
Dennis Hopper,Brad Pitt
Dennis Hopper,Christopher Walken
Dennis Hopper,Samuel L. Jackson
Gary Oldman,Brad Pitt
Gary Oldman,Christopher Walken
Gary Oldman,Samuel L. Jackson
Brad Pitt,Christopher Walken
Brad Pitt,Samuel L. Jackson
Christopher Walken,Samuel L. Jackson
Robert De Niro,James Woods
Robert De Niro,Elizabeth McGovern
Robert De Niro,Joe Pesci
Robert De Niro,Burt Young
Robert De Niro,Tuesday Weld
Robert De Niro,Jennifer Connelly
Robert De Niro,Danny Aiello
James Woods,Elizabeth McGovern
James Woods,Joe Pesci
James Woods,Burt Young
James Woods,Tuesday Weld
James Woods,Jennifer Connelly
James Woods,Danny Aiello
Elizabeth McGovern,Joe Pesci
Elizabeth McGovern,Burt Young
Elizabeth McGovern,Tuesday Weld
Elizabeth McGovern,Jennifer Connelly
Elizabeth McGovern,Danny Aiello
Joe Pesci,Burt Young
Joe Pesci,Tuesday Weld
Joe Pesci,Jennifer Connelly
Joe Pesci,Danny Aiello
Burt Young,Tuesday Weld
Burt Young,Jennifer Connelly
Burt Young,Danny Aiello
Tuesday Weld,Jennifer Connelly
Tuesday Weld,Danny Aiello
Jennifer Connelly,Danny Aiello
Cher,Sam Elliott
Cher,Laura Dern
Cher,Peter Bogdanovich
Sam Elliott,Laura Dern
Sam Elliott,Peter Bogdanovich
Laura Dern,Peter Bogdanovich
Peter Sellers,Vittorio De Sica
Peter Sellers,Martin Balsam
Peter Sellers,Akim Tamiroff
Peter Sellers,Vittorio De Sica
Vittorio De Sica,Martin Balsam
Vittorio De Sica,Akim Tamiroff
Vittorio De Sica,Vittorio De Sica
Martin Balsam,Akim Tamiroff
Martin Balsam,Vittorio De Sica
Akim Tamiroff,Vittorio De Sica
Gene Wilder,Cloris Leachman
Gene Wilder,Teri Garr
Gene Wilder,Madeline Kahn
Gene Wilder,Gene Hackman
Cloris Leachman,Teri Garr
Cloris Leachman,Madeline Kahn
Cloris Leachman,Gene Hackman
Teri Garr,Madeline Kahn
Teri Garr,Gene Hackman
Madeline Kahn,Gene Hackman
Madeline Kahn,Cloris Leachman
Madeline Kahn,Orson Welles
Madeline Kahn,Barry Levinson
Madeline Kahn,John Hurt
Madeline Kahn,Nigel Hawthorne
Cloris Leachman,Orson Welles
Cloris Leachman,Barry Levinson
Cloris Leachman,John Hurt
Cloris Leachman,Nigel Hawthorne
Orson Welles,Barry Levinson
Orson Welles,John Hurt
Orson Welles,Nigel Hawthorne
Barry Levinson,John Hurt
Barry Levinson,Nigel Hawthorne
John Hurt,Nigel Hawthorne
Madeline Kahn,Cloris Leachman
Madeline Kahn,Barry Levinson
Cloris Leachman,Barry Levinson
Angelina Jolie,Djimon Hounsou
Charlize Theron,Bruce Dern
Sam Shepard,Terrence Malick
Dustin Hoffman,Robin Williams
Dustin Hoffman,Julia Roberts
Dustin Hoffman,Bob Hoskins
Dustin Hoffman,Maggie Smith
Dustin Hoffman,Gwyneth Paltrow
Dustin Hoffman,Steven Spielberg
Robin Williams,Julia Roberts
Robin Williams,Bob Hoskins
Robin Williams,Maggie Smith
Robin Williams,Gwyneth Paltrow
Robin Williams,Steven Spielberg
Julia Roberts,Bob Hoskins
Julia Roberts,Maggie Smith
Julia Roberts,Gwyneth Paltrow
Julia Roberts,Steven Spielberg
Bob Hoskins,Maggie Smith
Bob Hoskins,Gwyneth Paltrow
Bob Hoskins,Steven Spielberg
Maggie Smith,Gwyneth Paltrow
Maggie Smith,Steven Spielberg
Gwyneth Paltrow,Steven Spielberg
Melina Mercouri,Michael Cacoyannis
Melina Mercouri,Michael Cacoyannis
Michael Cacoyannis,Michael Cacoyannis
Jack Nicholson,John C. Reilly
Jeff Bridges,Chris Cooper
Jeff Bridges,William H. Macy
Chris Cooper,William H. Macy
Peter Finch,Liv Ullmann
Peter Finch,Sally Kellerman
Peter Finch,George Kennedy
Peter Finch,Charles Boyer
Peter Finch,John Gielgud
Liv Ullmann,Sally Kellerman
Liv Ullmann,George Kennedy
Liv Ullmann,Charles Boyer
Liv Ullmann,John Gielgud
Sally Kellerman,George Kennedy
Sally Kellerman,Charles Boyer
Sally Kellerman,John Gielgud
George Kennedy,Charles Boyer
George Kennedy,John Gielgud
Charles Boyer,John Gielgud
Roy Scheider,William Friedkin
George Sanders,Angela Lansbury
George Sanders,Russ Tamblyn
George Sanders,Cecil B. DeMille
George Sanders,Cecil B. DeMille
Angela Lansbury,Russ Tamblyn
Angela Lansbury,Cecil B. DeMille
Angela Lansbury,Cecil B. DeMille
Russ Tamblyn,Cecil B. DeMille
Russ Tamblyn,Cecil B. DeMille
Cecil B. DeMille,Cecil B. DeMille
Harvey Keitel,George Clooney
Harvey Keitel,Quentin Tarantino
Harvey Keitel,Juliette Lewis
Harvey Keitel,Salma Hayek
George Clooney,Quentin Tarantino
George Clooney,Juliette Lewis
George Clooney,Salma Hayek
Quentin Tarantino,Juliette Lewis
Quentin Tarantino,Salma Hayek
Juliette Lewis,Salma Hayek
Reese Witherspoon,Sally Field
Reese Witherspoon,Regina King
Reese Witherspoon,Octavia Spencer
Sally Field,Regina King
Sally Field,Octavia Spencer
Regina King,Octavia Spencer
Gene Hackman,Mary Elizabeth Mastrantonio
Vanessa Redgrave,Sarah Miles
Vanessa Redgrave,Michelangelo Antonioni
Sarah Miles,Michelangelo Antonioni
James Caan,Mary Steenburgen
James Coburn,Maximilian Schell
James Coburn,James Mason
Maximilian Schell,James Mason
Jodie Foster,Forest Whitaker
Jodie Foster,Jared Leto
Jodie Foster,David Fincher
Forest Whitaker,Jared Leto
Forest Whitaker,David Fincher
Jared Leto,David Fincher
Reese Witherspoon,Joan Allen
Reese Witherspoon,William H. Macy
Joan Allen,William H. Macy
Queen Latifah,Ann-Margret
Tom Cruise,Anthony Hopkins
Virginia Madsen,Jennifer Connelly
Virginia Madsen,Dennis Hopper
Jennifer Connelly,Dennis Hopper
Mark Wahlberg,Julianne Moore
Mark Wahlberg,Burt Reynolds
Mark Wahlberg,Don Cheadle
Mark Wahlberg,John C. Reilly
Mark Wahlberg,William H. Macy
Mark Wahlberg,Philip Seymour Hoffman
Mark Wahlberg,Paul Thomas Anderson
Julianne Moore,Burt Reynolds
Julianne Moore,Don Cheadle
Julianne Moore,John C. Reilly
Julianne Moore,William H. Macy
Julianne Moore,Philip Seymour Hoffman
Julianne Moore,Paul Thomas Anderson
Burt Reynolds,Don Cheadle
Burt Reynolds,John C. Reilly
Burt Reynolds,William H. Macy
Burt Reynolds,Philip Seymour Hoffman
Burt Reynolds,Paul Thomas Anderson
Don Cheadle,John C. Reilly
Don Cheadle,William H. Macy
Don Cheadle,Philip Seymour Hoffman
Don Cheadle,Paul Thomas Anderson
John C. Reilly,William H. Macy
John C. Reilly,Philip Seymour Hoffman
John C. Reilly,Paul Thomas Anderson
William H. Macy,Philip Seymour Hoffman
William H. Macy,Paul Thomas Anderson
Philip Seymour Hoffman,Paul Thomas Anderson
Sean Penn,Jennifer Jason Leigh
Sean Penn,Forest Whitaker
Sean Penn,Nicolas Cage
Jennifer Jason Leigh,Forest Whitaker
Jennifer Jason Leigh,Nicolas Cage
Forest Whitaker,Nicolas Cage
George Kennedy,Fredric March
George Kennedy,Lynn Carlin
Fredric March,Lynn Carlin
Minnie Driver,Ian Holm
Minnie Driver,Stanley Tucci
Minnie Driver,Allison Janney
Minnie Driver,Stanley Tucci
Ian Holm,Stanley Tucci
Ian Holm,Allison Janney
Ian Holm,Stanley Tucci
Stanley Tucci,Allison Janney
Stanley Tucci,Stanley Tucci
Allison Janney,Stanley Tucci
Leonard Frey,William Friedkin
Vanessa Redgrave,Ken Russell
Sean Penn,Tim Robbins
Sean Penn,Laurence Fishburne
Sean Penn,Marcia Gay Harden
Sean Penn,Laura Linney
Sean Penn,Clint Eastwood
Tim Robbins,Laurence Fishburne
Tim Robbins,Marcia Gay Harden
Tim Robbins,Laura Linney
Tim Robbins,Clint Eastwood
Laurence Fishburne,Marcia Gay Harden
Laurence Fishburne,Laura Linney
Laurence Fishburne,Clint Eastwood
Marcia Gay Harden,Laura Linney
Marcia Gay Harden,Clint Eastwood
Laura Linney,Clint Eastwood
Gérard Depardieu,Barbet Schroeder
Jennifer Connelly,Ben Kingsley
Jennifer Connelly,Shohreh Aghdashloo
Ben Kingsley,Shohreh Aghdashloo
Jude Law,Nicole Kidman
Jude Law,Renée Zellweger
Jude Law,Philip Seymour Hoffman
Jude Law,Natalie Portman
Jude Law,Anthony Minghella
Nicole Kidman,Renée Zellweger
Nicole Kidman,Philip Seymour Hoffman
Nicole Kidman,Natalie Portman
Nicole Kidman,Anthony Minghella
Renée Zellweger,Philip Seymour Hoffman
Renée Zellweger,Natalie Portman
Renée Zellweger,Anthony Minghella
Philip Seymour Hoffman,Natalie Portman
Philip Seymour Hoffman,Anthony Minghella
Natalie Portman,Anthony Minghella
Emily Watson,Rachel Griffiths
Orson Welles,Frank Finlay
Judy Davis,Emma Thompson
Walter Matthau,Tatum O'Neal
Walter Matthau,Jackie Earle Haley
Tatum O'Neal,Jackie Earle Haley
Ralph Fiennes,Michelle Pfeiffer
Ralph Fiennes,Sandra Bullock
Ralph Fiennes,Helen Mirren
